TITLE, HOURS PLAYED, PERCENTAGE ACHIEVEMENTS, DATE LAST PLAYED
Crystals of Time, 5.0, N/A, 2016-09-23
Iron Fisticle, 5.9, 9.7%, 2019-04-11
Will Fight for Food: Super Actual Sellout: Game of the Hour, 7.7, 63.6%, 2015-07-18
Penarium, 5.3, 12.5%, 2016-04-16
Savage Lands, 5.2, 5.0%, 2020-04-09
Back to Bed, 7.3, 20.0%, 2018-05-26
City Quest, 9.2, 4.0%, 2017-01-20
Onikira: Demon Killer, 19.6, 0.0%, 2016-08-12
Super Panda Adventures, 88.1, N/A, 2021-01-17
Enter the Gungeon, 9.8, 1.9%, 2025-05-20
Sproggiwood, 6.8, 15.8%, 2017-09-18
Chasm, 7.3, 5.0%, 2019-12-15
Rain World, 16.8, 0.0%, 2025-01-25
METAL SLUG X, 5.7, 13.3%, 2019-02-28
Metrocide, 14.2, 3.0%, 2015-07-26
REVOLVER360 RE:ACTOR, 5.8, 1.7%, 2015-11-28
Rampage Knights, 65.3, 77.4%, 2019-12-14
Blackguards 2, 27.6, 0.0%, 2016-04-04
Amazing Princess Sarah, 6.0, 8.3%, 2016-06-28
Bravada, 5.0, 2.1%, 2018-12-16
Wave of Darkness, 12.4, 0.0%, 2017-03-04
Grim Fandango Remastered, 6.4, 2.1%, 2016-01-03
The Flame in the Flood, 20.6, 0.0%, 2020-12-19
Gold Rush! Anniversary, 5.6, N/A, 2016-09-18
Moon Hunters, 5.2, 8.5%, 2022-02-07
Deadlings - Rotten Edition, 9.6, 3.1%, 2015-09-30
Oscura: Lost Light, 13.7, 14.3%, 2015-07-29
Coffin Dodgers, 5.2, 5.4%, 2015-11-28
Fabula Mortis, 16.7, N/A, 2015-09-27
Toren, 24.4, 16.7%, 2016-09-17
Silence of the Sleep, 10.9, N/A, 2016-01-18
Yury, 12.2, 7.1%, 2016-10-17
SteamWorld Heist, 8.2, 4.3%, 2017-10-11
Don't Starve Together, 6.0, N/A, 2024-06-14
Laserlife, 5.2, 8.3%, 2016-08-31
Grow Home, 28.6, 0.0%, 2016-08-10
The Magic Circle, 5.8, 7.1%, 2016-04-21
Viking Squad, 6.3, 14.3%, 2016-10-14
Horizon Shift, 6.5, 8.3%, 2016-04-11
Feist, 12.3, 20.0%, 2016-02-15
Out of Reach, 24.3, 2.3%, 2016-09-18
Super Life of Pixel, 22.2, 0.0%, 2016-04-13
The Marvellous Miss Take, 35.9, 5.3%, 2015-08-20
The Deer God, 6.2, 3.3%, 2016-06-24
Stealth Inc 2, 45.2, 0.0%, 2016-06-25
Children of Morta, 11.0, 13.3%, 2022-12-12
Warlocks vs Shadows, 7.8, 9.5%, 2016-04-19
ONE PIECE PIRATE WARRIORS 3, 11.8, 0.0%, 2017-03-12
Crossing Souls, 9.0, 12.5%, 2020-08-26
Last Inua, 6.8, 17.6%, 2015-07-26
PixelJunk™ Shooter Ultimate, 6.0, 3.7%, 2023-02-04
Spriter Pro, 8.3, N/A, 2018-09-29
Marvin's Mittens, 5.5, N/A, 2017-06-05
Replay - VHS is not dead, 6.8, 7.1%, 2020-01-20
But to Paint a Universe, 23.5, 0.0%, 2016-03-07
Grimoire: Manastorm, 6.5, N/A, 2016-02-11
LISA, 52.7, 69.1%, 2023-08-25
Goats on a Bridge, 11.1, 0.0%, 2015-07-17
Catmouth Island, 5.8, N/A, 2015-07-23
Bloodsports.TV, 13.1, 1.8%, 2016-04-28
Zombie Vikings, 10.7, 9.1%, 2016-08-01
Pixel Heroes: Byte & Magic, 7.6, 1.8%, 2017-04-28
Oceanhorn: Monster of Uncharted Seas, 10.7, 9.5%, 2022-02-10
I: Gladiator, 12.6, 2.3%, 2016-05-04
Headlander, 21.5, 6.5%, 2020-12-19
Crystal Towers 2, 5.6, 2.9%, 2016-11-01
Deity Quest, 16.4, 0.0%, 2015-09-26
Domestic Dog, 13.1, 0.0%, 2017-03-04
Armed with Wings: Rearmed, 10.2, 5.0%, 2018-09-28
Camera Obscura, 19.8, 2.2%, 2015-07-07
Garden Rescue, 14.1, 0.0%, 2016-10-06
The Dark Stone from Mebara, 8.1, N/A, 2016-03-09
Terra Incognita Chapter One: The Descendant, 12.4, 0.0%, 2017-03-04
Doodle God, 26.2, 0.0%, 2016-04-04
Abyss Raiders: Uncharted, 12.7, 10.0%, 2015-08-19
Cubicle Quest, 12.6, N/A, 2016-04-28
Sherlock Holmes: The Devil's Daughter, 19.6, 0.0%, 2017-07-11
Belladonna, 5.5, N/A, 2015-10-20
Spirit Of War, 13.7, N/A, 2016-02-21
King of Dragon Pass, 10.6, 0.0%, 2017-09-23
The Deadly Tower of Monsters, 5.5, 4.0%, 2020-12-18
The Adventures of Tree, 14.6, 0.9%, 2016-09-01
Pester, 8.5, N/A, 2015-12-30
Slinki, 12.5, 6.7%, 2015-09-04
Space Run Galaxy, 12.7, 0.0%, 2017-03-12
Sheltered, 15.4, 0.0%, 2016-09-03
Eron, 7.5, N/A, 2021-01-11
Big Action Mega Fight!, 5.5, 44.4%, 2016-09-06
Defend Your Life, 15.2, 5.0%, 2016-02-21
Make it indie!, 5.2, 88.9%, 2016-09-26
No Turning Back: The Pixel Art Action-Adventure Roguelike, 13.7, 0.0%, 2016-02-21
Nightside, 20.4, 0.0%, 2016-07-31
Cards and Castles, 5.9, 12.5%, 2016-04-11
Super Daryl Deluxe, 91.6, 100.0%, 2019-01-25
The Living Dungeon, 6.0, 4.8%, 2016-04-06
Holy Potatoes! A Weapon Shop?!, 28.2, 0.0%, 2016-09-02
RPG Maker MV, 9.5, N/A, 2022-03-19
Volume, 5.0, 4.2%, 2016-09-03
Poly Bridge, 11.8, 4.5%, 2017-03-12
Dragon's Dogma: Dark Arisen, 11.2, 1.7%, 2020-12-11
Hollow Knight, 172.9, 84.1%, 2021-02-09
Kingdom: Classic, 20.7, 2.9%, 2016-06-28
Her Story, 14.4, 0.0%, 2017-06-30
Albert and Otto: The Adventure Begins, 5.1, 25.0%, 2015-12-17
Mysterious Space, 6.8, 2.2%, 2016-09-01
Apocalypse: Party's Over, 5.8, 5.7%, 2016-11-17
Pongo, 9.4, 25.0%, 2016-02-07
NotTheNameWeWanted, 12.7, 0.0%, 2016-02-14
Sparkle 2, 6.4, 7.1%, 2016-10-06
Gem Wars: Attack of the Jiblets, 22.4, 0.0%, 2016-04-17
VERLIES II, 5.0, 2.3%, 2017-02-08
Teddy Floppy Ear - The Race, 16.7, 0.0%, 2016-04-19
Gnumz: Masters of Defense, 13.9, 0.0%, 2016-11-17
Gunslugs, 5.6, 9.5%, 2015-09-07
Black Sails, 10.8, N/A, 2016-01-17
DARK SOULS™ III, 5.7, 2.3%, 2020-12-18
Death Tractor, 15.4, 6.2%, 2016-02-21
Chronicon, 6.3, 6.6%, 2025-10-04
Taimumari: Definitive Edition, 13.5, 9.4%, 2017-07-06
Trap Them, 5.0, N/A, 2016-02-23
GUILTY GEAR Xrd -SIGN-, 5.5, 4.2%, 2023-05-12
Western Press, 5.6, 20.0%, 2016-12-03
Putrefaction, 10.4, 10.0%, 2016-02-21
Hush, 20.4, 0.0%, 2015-09-30
Red Rope: Don't Fall Behind, 6.6, 4.3%, 2016-11-22
Lilly and Sasha: Guardian Angels, 6.2, N/A, 2015-08-30
Rivals of Aether, 12.3, 13.9%, 2025-07-25
Dead In Bermuda, 23.9, 0.0%, 2016-09-17
Necropolis, 5.2, 7.7%, 2021-01-10
Macabre, 7.4, N/A, 2016-08-31
Jet Racing Extreme, 23.2, 0.0%, 2016-08-01
Shadow Complex Remastered, 6.4, 5.1%, 2016-11-09
Tachyon Project, 24.9, 9.5%, 2017-04-07
Novus Inceptio, 19.6, 1.7%, 2017-08-16
Steel Rain, 5.8, 1.2%, 2017-05-10
Alpha Runner, 13.0, 25.0%, 2015-08-09
Project Tarvotan, 24.5, N/A, 2017-04-07
Oxenfree, 7.7, 7.7%, 2022-01-16
Collisions, 10.7, 0.0%, 2015-09-24
Army of Pixels, 22.9, 50.0%, 2017-07-13
Rise of the Tomb Raider, 5.0, 1.4%, 2022-01-22
Labyrinth Simulator, 13.9, N/A, 2016-02-21
Undertale, 22.3, N/A, 2021-02-23
King Lucas, 24.7, 0.0%, 2017-04-07
TSIOQUE, 5.2, 3.2%, 2021-02-05
Super Man Or Monster, 7.8, 10.0%, 2019-10-19
Squad, 8.0, N/A, 2019-12-16
Hurtworld, 7.6, N/A, 2019-12-15
Iconoclasts, 5.7, 18.2%, 2018-09-19
Get Over Here, 5.2, N/A, 2015-11-28
Punch Club, 5.9, 12.8%, 2017-08-24
Miracle Fly, 14.2, 0.0%, 2016-02-21
Toby: The Secret Mine, 10.4, 80.0%, 2016-10-03
ANKI, 5.8, N/A, 2015-09-08
We Are The Dwarves, 5.0, 5.9%, 2016-12-10
Ittle Dew 2+, 6.3, 30.0%, 2022-03-10
The Adventure Pals, 17.6, 51.6%, 2021-05-01
12 Labours of Hercules IV: Mother Nature, 23.4, 9.1%, 2016-03-08
Chronicles of the Witches and Warlocks, 11.5, 0.0%, 2016-11-15
Ace of Words, 8.4, 27.8%, 2015-12-12
Epistory - Typing Chronicles, 20.9, 40.0%, 2020-11-27
Fasaria World Online, 23.0, 0.0%, 2016-02-02
Legends of Solitaire: Curse of the Dragons, 24.1, 0.0%, 2016-04-18
The Prism, 5.4, N/A, 2021-01-19
Tinboy, 13.0, 0.0%, 2017-03-04
Wuppo - Definitive Edition, 20.1, 4.3%, 2020-12-19
Rabi-Ribi, 20.2, 2.3%, 2022-10-18
Poi, 6.5, 12.0%, 2017-04-27
Press X to Not Die, 5.0, 18.2%, 2016-05-10
Miner Mayhem, 10.8, N/A, 2016-09-13
Dungelot : Shattered Lands, 8.6, 19.3%, 2018-12-17
Nex Machina, 5.5, 7.7%, 2017-12-02
This Book Is A Dungeon, 12.1, N/A, 2016-09-15
Curvatron, 12.0, 12.5%, 2016-09-14
Wasteland 2: Director's Cut, 18.4, 0.0%, 2019-12-18
Godot Engine, 7.8, N/A, 2025-08-22
